Time,Temp_F
00:46,77.5
01:00,77.1
01:21,76.9
01:21,76.9
01:24,76.7
01:39,76.4
01:52,76.4
02:37,76.1
03:16,75.5
03:28,75.3
04:22,75.3
04:47,75.3
05:18,75.3
05:19,75.3
05:33,75
06:18,74.7
06:27,74.8
07:16,74.8
08:02,74.6
08:14,74.3
09:08,74.6
09:20,74.6
09:47,74.5
09:59,74.4
10:57,74.2
11:28,74.1
11:54,74.5
12:45,74.6
12:53,74.5
13:13,74.6
13:14,75.5
13:15,76.6
13:17,77.5
13:20,78.4
13:28,79.3
13:44,79.6
14:06,79.6
14:22,79.8
14:44,79.7
14:59,79.8
15:33,79.5
15:35,79.7
16:22,79.2
16:32,78.3
16:34,78.2
17:04,77.4
17:27,78.4
17:29,79.3
17:33,80.1
17:33,80.3
17:49,80.8
18:23,80.8
19:15,80.4
19:41,79.9
20:12,79.5
20:13,79.6
20:33,79.4
21:12,79
21:56,78.4
22:07,78.4
22:19,78.3
22:50,78
23:03,77.9
23:30,77.8
23:58,77.9
