Read_Date,Avg_Temp_F,Days_In_Period,Units_Used,Yearly_Usage_Change_pct,Bill_Amount_USD,Avg_Cost_per_Day_USD
7/17/2026,74.40,30,19.00,-10,73.11,2.44
6/17/2026,68.20,30,20.00,-10,73.02,2.43
5/18/2026,55.80,31,33.00,20,76.32,2.46
4/17/2026,55.20,29,45.00,-30,84.61,2.92
3/19/2026,43.50,29,84.00,-20,119.76,4.13
2/18/2026,20.30,29,179.00,10,279.54,9.64
1/20/2026,32.90,34,149.00,-10,197.54,5.81
12/17/2025,33.30,33,135.00,20,181.34,5.50
11/14/2025,46.60,29,56.00,60,100.93,3.48
10/16/2025,64.60,29,19.00,20,69.30,2.39
9/17/2025,66.50,30,20.00,40,70.86,2.36
8/18/2025,71.90,31,18.00,80,68.25,2.20
7/18/2025,77.00,30,20.00,0,72.60,2.42
6/18/2025,63.40,30,23.00,0,74.41,2.48
5/19/2025,63.50,32,27.00,0,78.16,2.44
4/17/2025,49.40,29,63.00,0,90.02,3.10
3/19/2025,40.60,29,102.00,0,135.05,4.66
2/18/2025,29.50,29,158.00,0,175.31,6.05
1/20/2025,30.60,34,169.00,0,183.78,5.41
12/17/2024,38.90,33,117.00,0,140.11,4.25
11/14/2024,55.40,29,34.00,0,77.54,2.67
10/16/2024,64.20,29,16.00,0,64.93,2.24
9/17/2024,69.60,32,14.00,0,61.09,1.91
8/16/2024,74.50,29,10.00,0,56.39,1.94
