Date,Time,Main_Temp_F,Main_Humidity_pct,Basement_Temp_F,Basement_Humidity_pct,BedroomAqara_Temp_F,BedroomAqara_Humidity_pct,BedroomHomePod_Temp_F,BedroomHomePod_Humidity_pct,Crawlspace_Temp_F,Crawlspace_Humidity_pct
2026-07-03,11:30,68.36,58,78.62,51,75.92,54,70.16,59,75.74,68
2026-07-02,20:43,69.8,58,,,,,,,,
2026-07-02,21:38,69.08,58,,,,,,,,
2026-07-02,22:23,68.72,58,,,,,,,,
2026-07-02,22:49,68.9,58,,,,,,,,
2026-07-03,00:58,68.54,58,,,,,,,,
2026-07-03,06:00,69.8,56,,,,,,,,
2026-07-03,08:41,69.98,56,,,,,,,,
2026-07-03,09:00,69.98,56,,,,,,,,

2026-07-03,12:20,69.44°F,60
2026-07-03,12:23,69.44°F,60,78.26°F,52,75.38°F,49,70.7°F,54,76.64°F,71
2026-07-03,12:25,69.44°F,60,78.26°F,52,75.38°F,49,70.52°F,54,76.64°F,71
2026-07-03,13:03,69.44°F,60,78.26°F,52,75.02°F,49,70.34°F,54,76.64°F,71
2026-07-03,13:30,69.8°F,60,78.26°F,54,75.92°F,53,70.52°F,55,77.18°F,72
2026-07-03,14:17,70.34°F,60,78.08°F,54,75.74°F,50,70.34°F,55,77.54°F,71
2026-07-03,15:58,70.34°F,60,76.82°F,54,74.84°F,48,69.98°F,53,78.44°F,69
2026-07-03,17:00,70.34°F,60,76.46°F,54,75.02°F,47,69.8°F,52,78.98°F,70
2026-07-03,19:00,70.34°F,60,76.28°F,55,75.38°F,46,69.62°F,51,79.52°F,69
2026-07-03,21:00,70.16°F,58,80.06°F,51,76.82°F,49,69.98°F,57,79.34°F,68
2026-07-03,21:12,70.34°F,58,80.06°F,51,77°F,49,70.16°F,56,79.34°F,68
2026-07-03,21:43,70.34°F,58,79.34°F,51,77°F,49,71.06°F,55,79.34°F,68
2026-07-03,22:48,70.16°F,58,78.62°F,51,76.82°F,49,69.98°F,56,78.98°F,65
2026-07-03,23:01,69.98°F,58,78.44°F,52,77°F,50,69.8°F,56,78.62°F,63
2026-07-04,00:58,68.72°F,58,77.18°F,51,76.82°F,49,69.08°F,58,77.36°F,67
2026-07-04,05:21,68.72°F,56,76.46°F,51,76.1°F,48,70.34°F,52,76.1°F,66
2026-07-04,06:00,69.08°F,54,75.38°F,51,76.1°F,49,70.34°F,54,75.56°F,60
2026-07-04,09:00,70.7°F,56,74.84°F,50,75.56°F,51,72.68°F,54,75.02°F,58
2026-07-04,11:18,68°F,56,74.12°F,53,75.56°F,50,68.9°F,56,75.38°F,66
2026-07-04,12:50,68.36°F,56,74.12°F,54,76.1°F,47,69.62°F,56,75.92°F,68
2026-07-04,13:13,68.36°F,56,74.12°F,54,75.38°F,47,68.72°F,55,75.92°F,68
2026-07-04,13:30,68.36°F,56,74.3°F,54,75.2°F,48,68.72°F,56,76.1°F,69
2026-07-04,17:00,68.9°F,58,74.66°F,54,79.34°F,49,71.24°F,55,77.9°F,68
2026-07-04,17:09,68.9°F,58,74.66°F,54,79.34°F,49,71.42°F,55,77.9°F,68
2026-07-04,17:24,68.9°F,58,74.66°F,56,78.08°F,46,70.52°F,51,77.18°F,65
2026-07-04,17:44,68.9°F,58,75.38°F,57,79.16°F,49,72.5°F,52,76.28°F,68
2026-07-04,17:52,69.62°F,58,75.38°F,64,79.16°F,53,73.04°F,53,76.1°F,60
2026-07-04,19:00,70.52°F,58,75.2°F,57,76.28°F,44,70.88°F,48,76.64°F,74
2026-07-04,21:00,71.06°F,58,75.2°F,58,77.54°F,53,73.22°F,52,75.74°F,67
2026-07-04,21:15,71.06°F,58,75.38°F,57,77.9°F,52,74.12°F,53,75.74°F,67
2026-07-04,21:21,71.06°F,58,75.38°F,57,77.9°F,52,74.3°F,53,75.74°F,61
2026-07-04,23:10,74.12°F,58,78.62°F,61,73.58°F,51,72.5°F,49,75.92°F,74
2026-07-05,00:58,74.48°F,58,78.62°F,60,76.1°F,57,73.58°F,57,76.1°F,71
2026-07-05,06:00,73.04°F,58,76.46°F,57,74.66°F,49,71.42°F,49,75.38°F,75
2026-07-05,09:00,70.16°F,56,75.02°F,56,75.56°F,53,70.7°F,54,74.66°F,66
2026-07-05,13:30,70.34°F,56,78.62°F,56,73.94°F,49,67.1°F,53,75.74°F,74,37.76°F
2026-07-05,13:33,70.34°F,56,78.62°F,55,73.94°F,48,67.1°F,53,75.74°F,74,37.58°F
2026-07-05,17:00,68.72°F,58,76.64°F,55,75.92°F,53,70.16°F,60,75.92°F,67,36.5°F
2026-07-05,19:00,70.34°F,60,75.56°F,53,74.66°F,51,68.54°F,57,75.74°F,75,39.2°F
2026-07-05,21:00,67.82°F,60,74.66°F,54,75.2°F,52,69.08°F,58,75.02°F,69,41.36°F
2026-07-06,00:53,70.88°F,56,74.84°F,52,75.38°F,56,70.34°F,57,74.3°F,73,41°F
2026-07-06,00:58,70.88°F,56,74.84°F,52,75.38°F,56,70.16°F,57,74.3°F,73,41°F
2026-07-06,06:00,69.98°F,56,74.12°F,51,73.94°F,51,69.26°F,56,73.76°F,72,38.12°F
2026-07-06,09:00,71.6°F,56,74.48°F,49,74.48°F,56,73.4°F,55,73.58°F,57,36.86°F
2026-07-06,12:29,71.6°F,56,74.12°F,48,74.3°F,58,72.68°F,55,73.4°F,59,40.82°F
2026-07-06,13:30,71.6°F,56,73.76°F,52,74.66°F,53,69.8°F,55,73.94°F,69,39.92°F
2026-07-06,17:00,70.16°F,58,77.36°F,50,74.66°F,48,71.42°F,49,75.2°F,62,40.46°F
2026-07-06,19:00,73.58°F,62,76.28°F,53,75.38°F,49,69.98°F,56,75.92°F,75,40.28°F
2026-07-06,21:00,71.42°F,58,76.1°F,51,75.56°F,46,71.24°F,48,75.56°F,63,37.76°F
2026-07-07,00:58,74.66°F,56,76.82°F,48,74.3°F,46,70.7°F,47,75.38°F,57,39.38°F
2026-07-07,06:00,74.48°F,52,76.28°F,47,73.4°F,52,71.96°F,53,75.38°F,56,38.84°F
2026-07-07,09:00,75.38°F,54,76.46°F,47,73.22°F,53,71.96°F,52,75.02°F,57,40.82°F
2026-07-07,13:30,,,,,,,,,,,
2026-07-07,17:00,,,,,,,,,,,
2026-07-07,19:00,,,,,,,,,,,
2026-07-07,21:00,,,,,,,,,,,
2026-07-08,00:58,,,,,,,,,,,
2026-07-08,04:45,,,,,,,,,,,
2026-07-08,04:46,71.42°F,54,75.92°F,47,76.1°F,55,73.94°F,,,,
2026-07-08,04:46,71.42°F,54,75.92°F,47,76.1°F,55,73.94°F,,,,
2026-07-08,05:02,71.42°F,54,75.92°F,47,76.1°F,55,73.94°F,,,,
2026-07-08,05:02,71.42°F,54,75.92°F,47,76.1°F,55,73.94°F,,,,
2026-07-08,05:14,71.42°F,54,75.92°F,47,76.28°F,55,74.12°F,,,,
2026-07-08,06:00,71.42°F,54,75.56°F,49,74.12°F,46,67.1°F,,,,
2026-07-08,09:00,71.96°F,54,75.38°F,47,75.02°F,55,73.58°F,,,,
2026-07-08,13:30,72.14°F,52,75.2°F,52,73.58°F,51,71.06°F,,,,
2026-07-08,17:00,69.98°F,56,77.9°F,50,75.38°F,47,69.8°F,,,,
2026-07-08,18:02,70.52°F,56,77.18°F,50,75.92°F,56,69.98°F,,,,
2026-07-08,19:00,70.34°F,56,76.82°F,50,77.36°F,50,69.8°F,,,,
2026-07-08,19:45,69.8°F,56,76.28°F,50,77.36°F,50,69.8°F,,,,
2026-07-08,21:00,69.26°F,56,75.74°F,50,77.54°F,47,69.8°F,,,,
2026-07-08,23:01,69.08°F,56,76.1°F,47,77.36°F,52,73.4°F,,,,
2026-07-09,00:58,69.44°F,54,75.56°F,49,76.46°F,51,71.42°F,,,,
2026-07-09,01:11,69.44°F,54,75.38°F,48,76.46°F,51,72.32°F,,,,
2026-07-09,04:24,71.24°F,52,74.48°F,49,76.1°F,49,70.7°F,,,,
2026-07-09,06:00,69.44°F,54,75.02°F,47,76.28°F,54,73.22°F,,,,
2026-07-09,08:20,69.8°F,52,74.3°F,49,75.74°F,51,69.44°F,,,,
2026-07-09,09:00,69.62°F,52,74.12°F,49,75.74°F,51,69.62°F,,,,
2026-07-09,17:00,69.98°F,56,78.08°F,55,74.48°F,47,69.44°F,,,,
2026-07-09,18:02,69.26°F,56,77°F,50,75.74°F,50,69.44°F,,,,
