Date,Time,Temp_F,DewPoint_F,Humidity_pct,Wind_Dir,Wind_Speed_mph,Wind_Gust_mph,Pressure_in,Precip_in,Condition
2026-06-21,12:00 AM,62.2,59.4,91,WNW,5.1,11.4,29.08,0.0,Fair
2026-06-21,1:00 AM,61.0,58.6,92,W,3.8,8.7,29.07,0.0,Fair
2026-06-21,2:00 AM,59.0,58.4,98,NW,2.3,7.6,29.07,0.0,Fair
2026-06-21,3:00 AM,58.3,57.4,97,W,1.9,4.0,29.08,0.0,Partly Cloudy
2026-06-21,4:00 AM,58.1,56.6,95,WSW,3.6,6.3,29.08,0.0,Partly Cloudy
2026-06-21,5:00 AM,57.4,54.6,90,W,4.0,6.9,29.09,0.0,Partly Cloudy
2026-06-21,6:00 AM,56.0,52.8,89,WNW,4.3,7.4,29.1,0.0,Partly Cloudy
2026-06-21,7:00 AM,57.8,53.7,86,WNW,4.6,8.3,29.11,0.0,Fair
2026-06-21,8:00 AM,60.5,55.6,84,W,2.4,8.3,29.13,0.0,Cloudy
2026-06-21,9:00 AM,64.3,57.7,79,W,2.0,7.6,29.15,0.0,Cloudy
2026-06-21,10:00 AM,68.5,56.4,65,WNW,2.6,9.4,29.14,0.0,Cloudy
2026-06-21,11:00 AM,71.2,54.4,55,WNW,3.1,11.0,29.14,0.0,Cloudy
2026-06-21,12:00 PM,74.2,53.3,48,W,3.6,12.1,29.14,0.0,Cloudy
2026-06-21,1:00 PM,74.9,52.0,45,WSW,3.9,12.1,29.14,0.0,Cloudy
2026-06-21,2:00 PM,73.2,53.2,49,WSW,1.7,11.9,29.15,0.0,Partly Cloudy
2026-06-21,3:00 PM,74.8,53.1,47,SW,3.0,10.1,29.14,0.0,Cloudy
2026-06-21,4:00 PM,75.4,52.9,46,SW,5.4,14.1,29.14,0.0,Cloudy
2026-06-21,5:00 PM,73.1,53.2,50,SSW,7.6,16.6,29.14,0.0,Cloudy
2026-06-21,6:00 PM,70.7,57.9,64,SSW,3.6,16.3,29.14,0.0,Cloudy
2026-06-21,7:00 PM,70.4,60.8,72,SE,2.6,5.8,29.12,0.0,Cloudy
2026-06-21,8:00 PM,68.2,64.1,87,SSW,2.4,6.9,29.12,0.0,Cloudy
2026-06-21,9:00 PM,66.7,61.4,83,SE,1.0,3.8,29.13,0.0,Cloudy
2026-06-21,10:00 PM,66.1,60.6,82,ENE,3.7,6.3,29.12,0.0,Cloudy
2026-06-21,11:00 PM,65.7,57.9,76,E,5.3,9.4,29.1,0.0,Cloudy
2026-06-22,12:00 AM,64.9,57.7,78,E,3.0,9.4,29.11,0.0,Cloudy
2026-06-22,1:00 AM,64.4,57.5,78,ENE,4.5,7.6,29.11,0.0,Cloudy
2026-06-22,2:00 AM,63.7,57.1,79,E,6.8,11.2,29.09,0.012,Light Drizzle
2026-06-22,3:00 AM,63.6,57.9,82,E,8.3,15.4,29.05,0.012,Light Drizzle
2026-06-22,4:00 AM,64.1,58.2,81,E,8.7,17.2,29.01,0.0,Cloudy
2026-06-22,5:00 AM,64.2,58.3,81,SE,9.2,17.2,29.0,0.008,Light Drizzle
2026-06-22,6:00 AM,63.2,59.5,88,SE,10.0,19.9,28.98,0.004,Light Drizzle
2026-06-22,7:00 AM,64.3,61.2,90,SSE,9.7,20.4,28.97,0.0,Cloudy
2026-06-22,8:00 AM,63.6,62.8,97,SW,8.3,23.7,29.0,0.071,Light Rain
2026-06-22,9:00 AM,67.6,66.6,97,SW,9.9,22.6,29.0,0.024,Drizzle
2026-06-22,10:00 AM,69.2,67.5,94,SSW,11.1,22.8,29.01,0.016,Light Drizzle
